model,dataset,run,breakdown,level,num_valid,num_behaviorally_classified,num_total,num_parse_failed
gemma,high_stakes_test,seed_4,subset_type,verbal,497,497,502,5
gemma,high_stakes_test,seed_4,probability_format,numerical,490,490,498,8
gemma,high_stakes_test,seed_4,probability_format,verbal,497,497,502,5
gemma,high_stakes_test,seed_5,subset_type,rebels_only,986,986,1000,14
gemma,high_stakes_test,seed_5,subset_type,numerical,491,491,498,7
gemma,high_stakes_test,seed_5,subset_type,verbal,495,495,502,7
gemma,high_stakes_test,seed_5,probability_format,numerical,491,491,498,7
gemma,high_stakes_test,seed_5,probability_format,verbal,495,495,502,7
gemma,astronomical_stakes_deployment,baseline,subset_type,rebels_only,986,986,1000,14
gemma,astronomical_stakes_deployment,baseline,subset_type,numerical,480,480,489,9
gemma,astronomical_stakes_deployment,baseline,subset_type,verbal,506,506,511,5
gemma,astronomical_stakes_deployment,baseline,probability_format,numerical,480,480,489,9
gemma,astronomical_stakes_deployment,baseline,probability_format,verbal,506,506,511,5
gemma,astronomical_stakes_deployment,seed_1,subset_type,rebels_only,973,973,1000,27
gemma,astronomical_stakes_deployment,seed_1,subset_type,numerical,471,471,489,18
gemma,astronomical_stakes_deployment,seed_1,subset_type,verbal,502,502,511,9
gemma,astronomical_stakes_deployment,seed_1,probability_format,numerical,471,471,489,18
gemma,astronomical_stakes_deployment,seed_1,probability_format,verbal,502,502,511,9
gemma,astronomical_stakes_deployment,seed_2,subset_type,rebels_only,979,979,1000,21
gemma,astronomical_stakes_deployment,seed_2,subset_type,numerical,477,477,489,12
gemma,astronomical_stakes_deployment,seed_2,subset_type,verbal,502,502,511,9
gemma,astronomical_stakes_deployment,seed_2,probability_format,numerical,477,477,489,12
gemma,astronomical_stakes_deployment,seed_2,probability_format,verbal,502,502,511,9
gemma,astronomical_stakes_deployment,seed_3,subset_type,rebels_only,979,979,1000,21
gemma,astronomical_stakes_deployment,seed_3,subset_type,numerical,477,477,489,12
gemma,astronomical_stakes_deployment,seed_3,subset_type,verbal,502,502,511,9
gemma,astronomical_stakes_deployment,seed_3,probability_format,numerical,477,477,489,12
gemma,astronomical_stakes_deployment,seed_3,probability_format,verbal,502,502,511,9
gemma,astronomical_stakes_deployment,seed_4,subset_type,rebels_only,979,979,1000,21
gemma,astronomical_stakes_deployment,seed_4,subset_type,numerical,474,474,489,15
gemma,astronomical_stakes_deployment,seed_4,subset_type,verbal,505,505,511,6
gemma,astronomical_stakes_deployment,seed_4,probability_format,numerical,474,474,489,15
gemma,astronomical_stakes_deployment,seed_4,probability_format,verbal,505,505,511,6
gemma,astronomical_stakes_deployment,seed_5,subset_type,rebels_only,975,975,1000,25
gemma,astronomical_stakes_deployment,seed_5,subset_type,numerical,473,473,489,16
gemma,astronomical_stakes_deployment,seed_5,subset_type,verbal,502,502,511,9
gemma,astronomical_stakes_deployment,seed_5,probability_format,numerical,473,473,489,16
gemma,astronomical_stakes_deployment,seed_5,probability_format,verbal,502,502,511,9
gemma,steals_test,baseline,subset_type,steals_only,993,993,1000,7
gemma,steals_test,baseline,subset_type,numerical,579,579,585,6
gemma,steals_test,baseline,subset_type,verbal,414,414,415,1
gemma,steals_test,baseline,probability_format,numerical,579,579,585,6
gemma,steals_test,baseline,probability_format,verbal,414,414,415,1
gemma,steals_test,seed_1,subset_type,steals_only,981,981,1000,19
gemma,steals_test,seed_1,subset_type,numerical,574,574,585,11
gemma,steals_test,seed_1,subset_type,verbal,407,407,415,8
gemma,steals_test,seed_1,probability_format,numerical,574,574,585,11
gemma,steals_test,seed_1,probability_format,verbal,407,407,415,8
gemma,steals_test,seed_2,subset_type,steals_only,986,986,1000,14
gemma,steals_test,seed_2,subset_type,numerical,574,574,585,11
gemma,steals_test,seed_2,subset_type,verbal,412,412,415,3
gemma,steals_test,seed_2,probability_format,numerical,574,574,585,11
gemma,steals_test,seed_2,probability_format,verbal,412,412,415,3
gemma,steals_test,seed_3,subset_type,steals_only,983,983,1000,17
gemma,steals_test,seed_3,subset_type,numerical,573,573,585,12
gemma,steals_test,seed_3,subset_type,verbal,410,410,415,5
gemma,steals_test,seed_3,probability_format,numerical,573,573,585,12
gemma,steals_test,seed_3,probability_format,verbal,410,410,415,5
gemma,steals_test,seed_4,subset_type,steals_only,989,989,1000,11
gemma,steals_test,seed_4,subset_type,numerical,575,575,585,10
gemma,steals_test,seed_4,subset_type,verbal,414,414,415,1
gemma,steals_test,seed_4,probability_format,numerical,575,575,585,10
gemma,steals_test,seed_4,probability_format,verbal,414,414,415,1
gemma,steals_test,seed_5,subset_type,steals_only,982,982,1000,18
gemma,steals_test,seed_5,subset_type,numerical,573,573,585,12
gemma,steals_test,seed_5,subset_type,verbal,409,409,415,6
gemma,steals_test,seed_5,probability_format,numerical,573,573,585,12
gemma,steals_test,seed_5,probability_format,verbal,409,409,415,6
