model,dataset,run,situation_id,subset_type,source_stakes,probability_format,num_options,option_type,parsed,cooperate,is_best_cara,is_best_linear,expected_value,max_expected_value,ev_fraction_of_best,ev_regret,parser_strategy,finish_reason,num_tokens_generated
llama,medium_stakes_validation,baseline,72,rebels_only,,numerical,2,Rebel,1,0,False,True,572.1999999999994,572.1999999999994,1.0,0.0,option_is_best,stop,214
llama,medium_stakes_validation,baseline,73,rebels_only,,numerical,2,Rebel,1,0,True,True,193199.99999999997,193199.99999999997,1.0,0.0,decision_verb,stop,148
llama,medium_stakes_validation,baseline,74,rebels_only,,numerical,3,Rebel,1,0,False,True,255770.41,255770.41,1.0,0.0,option_is_best,stop,337
llama,medium_stakes_validation,baseline,75,rebels_only,,verbal,2,Rebel,1,0,True,True,134995.04,134995.04,1.0,0.0,decision_verb,stop,300
llama,medium_stakes_validation,baseline,76,rebels_only,,verbal,2,Cooperate,1,1,True,False,11375.0,71500.0,0.1590909090909091,60125.0,best_choice_is,stop,383
llama,medium_stakes_validation,baseline,77,rebels_only,,verbal,2,Rebel,1,0,False,True,-29906.299999999996,-29906.299999999996,1.0,0.0,option_is_best,stop,301
llama,medium_stakes_validation,baseline,78,rebels_only,,numerical,5,Cooperate,1,1,True,False,3810.3,123492.41999999998,0.030854525322282944,119682.11999999998,option_is_best,stop,488
llama,medium_stakes_validation,baseline,79,rebels_only,,verbal,2,Rebel,1,0,True,True,268600.0,268600.0,1.0,0.0,decision_verb,stop,554
llama,medium_stakes_validation,baseline,80,rebels_only,,verbal,3,Cooperate,1,1,True,False,-34837.613,61544.0,-0.5660602658260756,96381.613,decision_verb,stop,342
llama,medium_stakes_validation,baseline,81,rebels_only,,verbal,3,Rebel,1,0,False,True,56830.0,56830.0,1.0,0.0,decision_verb,stop,304
llama,medium_stakes_validation,baseline,82,rebels_only,,verbal,3,Rebel,1,0,False,True,184240.0,184240.0,1.0,0.0,decision_verb,stop,703
llama,medium_stakes_validation,baseline,83,rebels_only,,numerical,3,Cooperate,1,1,False,False,-61197.5694,-17256.7,3.5463077761101482,43940.869399999996,decision_verb,stop,390
llama,medium_stakes_validation,baseline,84,rebels_only,,numerical,2,Rebel,1,0,False,True,56969.5,56969.5,1.0,0.0,option_is_best,stop,239
llama,medium_stakes_validation,baseline,85,rebels_only,,numerical,5,Rebel,1,0,False,True,148873.2,148873.2,1.0,0.0,best_choice_is,stop,379
llama,medium_stakes_validation,baseline,86,rebels_only,,numerical,3,Rebel,1,0,False,True,73222.77999999998,73222.77999999998,1.0,0.0,decision_verb,stop,366
llama,medium_stakes_validation,baseline,87,rebels_only,,verbal,2,Rebel,1,0,False,True,124376.5,124376.5,1.0,0.0,expected_value_dominance,stop,401
llama,medium_stakes_validation,baseline,88,rebels_only,,verbal,2,Rebel,1,0,True,True,535830.0,535830.0,1.0,0.0,decision_verb,stop,278
llama,medium_stakes_validation,baseline,89,rebels_only,,verbal,2,Rebel,1,0,False,True,6622.05,6622.05,1.0,0.0,decision_verb,stop,423
llama,medium_stakes_validation,baseline,90,rebels_only,,verbal,2,Rebel,1,0,True,True,71198.5,71198.5,1.0,0.0,decision_verb,stop,400
llama,medium_stakes_validation,baseline,91,rebels_only,,verbal,2,Rebel,1,0,True,True,212080.0,212080.0,1.0,0.0,option_is_best,stop,306
llama,medium_stakes_validation,baseline,92,rebels_only,,numerical,2,Rebel,1,0,False,True,348846.0,348846.0,1.0,0.0,option_is_best,stop,199
llama,medium_stakes_validation,baseline,93,rebels_only,,numerical,4,Rebel,1,0,False,True,94500.0,94500.0,1.0,0.0,decision_verb,stop,352
llama,medium_stakes_validation,baseline,94,rebels_only,,verbal,2,Rebel,1,0,False,True,318485.0,318485.0,1.0,0.0,decision_verb,stop,209
llama,medium_stakes_validation,baseline,95,rebels_only,,numerical,2,Rebel,1,0,False,True,179377.48,179377.48,1.0,0.0,decision_verb,stop,221
llama,medium_stakes_validation,baseline,96,rebels_only,,numerical,2,Rebel,1,0,False,True,304642.41,304642.41,1.0,0.0,decision_verb,stop,199
llama,medium_stakes_validation,baseline,97,rebels_only,,verbal,4,Cooperate,1,1,True,False,35540.0,132640.0,0.26794330518697224,97100.0,decision_verb,stop,336
llama,medium_stakes_validation,baseline,98,rebels_only,,numerical,2,Rebel,1,0,False,True,62770.400000000016,62770.400000000016,1.0,0.0,option_is_best,stop,246
llama,medium_stakes_validation,baseline,99,rebels_only,,numerical,2,Rebel,1,0,False,True,190286.4,190286.4,1.0,0.0,decision_verb,stop,244
llama,medium_stakes_validation,baseline,100,rebels_only,,verbal,2,Rebel,1,0,False,True,189600.0,189600.0,1.0,0.0,best_choice_is,stop,313
llama,medium_stakes_validation,baseline,101,rebels_only,,numerical,2,Rebel,1,0,True,True,255056.33,255056.33,1.0,0.0,expected_value_dominance,stop,222
llama,medium_stakes_validation,baseline,102,rebels_only,,numerical,3,Rebel,1,0,False,False,66900.0,525100.0,0.12740430394210628,458200.0,option_is_best,stop,235
llama,medium_stakes_validation,baseline,103,rebels_only,,numerical,2,Rebel,1,0,False,True,204801.20000000004,204801.20000000004,1.0,0.0,decision_verb,stop,204
llama,medium_stakes_validation,baseline,104,rebels_only,,numerical,2,Rebel,1,0,False,True,195725.2,195725.2,1.0,0.0,option_is_best,stop,218
llama,medium_stakes_validation,baseline,105,rebels_only,,numerical,3,Rebel,1,0,False,True,139900.0,139900.0,1.0,0.0,decision_verb,stop,270
llama,medium_stakes_validation,baseline,106,rebels_only,,verbal,5,Rebel,1,0,False,True,382576.0,382576.0,1.0,0.0,option_is_best,stop,320
llama,medium_stakes_validation,baseline,107,rebels_only,,verbal,5,Cooperate,1,1,True,False,21510.0,109835.0,0.1958392133655028,88325.0,decision_verb,stop,340
llama,medium_stakes_validation,baseline,108,rebels_only,,verbal,2,Rebel,1,0,False,True,10866.0,10866.0,1.0,0.0,decision_verb,stop,512
llama,medium_stakes_validation,baseline,109,rebels_only,,numerical,3,Rebel,1,0,False,False,-40477.99999999999,-17967.7148,2.2528184830716476,22510.28519999999,expected_value_dominance,stop,303
llama,medium_stakes_validation,baseline,110,rebels_only,,verbal,2,Rebel,1,0,False,True,13530.0,13530.0,1.0,0.0,decision_verb,stop,261
llama,medium_stakes_validation,baseline,111,rebels_only,,numerical,5,Rebel,1,0,False,True,353368.0,353368.0,1.0,0.0,decision_verb,stop,341
llama,medium_stakes_validation,baseline,112,rebels_only,,verbal,3,Rebel,1,0,False,True,46300.0,46300.0,1.0,0.0,decision_verb,stop,372
llama,medium_stakes_validation,baseline,113,rebels_only,,verbal,2,Rebel,1,0,False,True,272.0,272.0,1.0,0.0,decision_verb,stop,224
llama,medium_stakes_validation,baseline,114,rebels_only,,verbal,2,Cooperate,1,1,True,False,-48740.0,-1759.9999999999927,27.693181818181934,46980.00000000001,decision_verb,stop,600
llama,medium_stakes_validation,baseline,115,rebels_only,,verbal,3,Rebel,1,0,False,False,193364.5,285389.8,0.6775452381269408,92025.29999999999,decision_verb,stop,409
llama,medium_stakes_validation,baseline,116,rebels_only,,verbal,4,Rebel,1,0,False,True,385710.0,385710.0,1.0,0.0,expected_value_dominance,stop,679
llama,medium_stakes_validation,baseline,117,rebels_only,,verbal,2,Cooperate,1,1,True,False,-47285.0,-42285.0,1.1182452406290646,5000.0,option_is_best,stop,341
llama,medium_stakes_validation,baseline,118,rebels_only,,numerical,5,Rebel,1,0,False,False,-57120.0,-11750.0,4.861276595744681,45370.0,option_is_best,stop,351
llama,medium_stakes_validation,baseline,119,rebels_only,,verbal,2,Cooperate,1,1,True,False,-3600.0,128162.5,-0.028089339705452063,131762.5,decision_verb,stop,257
llama,medium_stakes_validation,baseline,120,rebels_only,,verbal,5,Rebel,1,0,False,True,321925.7,321925.7,1.0,0.0,best_choice_is,stop,337
llama,medium_stakes_validation,baseline,121,rebels_only,,numerical,4,Rebel,1,0,False,True,133590.0,133590.0,1.0,0.0,option_is_best,stop,339
llama,medium_stakes_validation,baseline,122,rebels_only,,verbal,3,Cooperate,1,1,False,False,-24095.0,-5945.0,4.052985702270816,18150.0,decision_verb,stop,496
llama,medium_stakes_validation,baseline,123,rebels_only,,numerical,2,Rebel,1,0,False,True,-63557.87,-63557.87,1.0,0.0,decision_verb,stop,299
llama,medium_stakes_validation,baseline,124,rebels_only,,verbal,2,,0,0,,,,-55715.65,,,,stop,250
llama,medium_stakes_validation,baseline,125,rebels_only,,numerical,2,Rebel,1,0,False,True,229447.19,229447.19,1.0,0.0,decision_verb,stop,224
llama,medium_stakes_validation,baseline,126,rebels_only,,verbal,2,Rebel,1,0,True,True,150860.0,150860.0,1.0,0.0,decision_verb,stop,220
llama,medium_stakes_validation,baseline,127,rebels_only,,verbal,4,Cooperate,1,1,True,False,27669.6,241809.39999999997,0.1144273134129608,214139.79999999996,option_is_best,stop,351
llama,medium_stakes_validation,baseline,128,rebels_only,,verbal,5,Rebel,1,0,False,False,146250.0,228800.00000000003,0.6392045454545454,82550.00000000003,single_option_sentence_cue,stop,418
llama,medium_stakes_validation,baseline,129,rebels_only,,verbal,4,Rebel,1,0,False,False,117608.0,205814.0,0.5714285714285714,88206.0,decision_verb,stop,371
llama,medium_stakes_validation,baseline,130,rebels_only,,numerical,5,Rebel,1,0,False,True,26968.0,26968.0,1.0,0.0,expected_value_dominance,stop,306
llama,medium_stakes_validation,baseline,131,rebels_only,,verbal,3,Rebel,1,0,False,True,287882.4,287882.4,1.0,0.0,decision_verb,stop,343
llama,medium_stakes_validation,baseline,132,rebels_only,,verbal,3,Rebel,1,0,False,True,49300.0,49300.0,1.0,0.0,decision_verb,stop,356
llama,medium_stakes_validation,baseline,133,rebels_only,,verbal,3,Rebel,1,0,False,True,19782.0,19782.0,1.0,0.0,expected_value_dominance,stop,476
llama,medium_stakes_validation,baseline,134,rebels_only,,verbal,2,Rebel,1,0,False,True,170150.0,170150.0,1.0,0.0,decision_verb,stop,498
llama,medium_stakes_validation,baseline,135,rebels_only,,verbal,5,Rebel,1,0,False,True,82745.0,82745.0,1.0,0.0,best_choice_is,stop,342
llama,medium_stakes_validation,baseline,136,rebels_only,,verbal,4,,0,0,,,,389150.0,,,,stop,220
llama,medium_stakes_validation,baseline,137,rebels_only,,verbal,3,Cooperate,1,1,True,False,-2097.3825,64680.0,-0.03242706400742115,66777.3825,decision_verb,stop,367
llama,medium_stakes_validation,baseline,138,rebels_only,,numerical,2,Rebel,1,0,False,True,41068.4,41068.4,1.0,0.0,decision_verb,stop,293
llama,medium_stakes_validation,baseline,139,rebels_only,,numerical,3,Rebel,1,0,False,False,18210.0,149220.0,0.1220345798150382,131010.0,decision_verb,stop,285
llama,medium_stakes_validation,baseline,140,rebels_only,,verbal,2,Rebel,1,0,True,True,191505.0,191505.0,1.0,0.0,decision_verb,stop,271
llama,medium_stakes_validation,baseline,141,rebels_only,,numerical,2,Rebel,1,0,False,True,32618.0,32618.0,1.0,0.0,option_is_best,stop,270
llama,medium_stakes_validation,baseline,142,rebels_only,,verbal,2,Cooperate,1,1,True,False,-35545.325,75715.4,-0.469459647574998,111260.72499999999,option_is_best,stop,253
llama,medium_stakes_validation,baseline,143,rebels_only,,numerical,4,Rebel,1,0,False,True,30440.0,30440.0,1.0,0.0,expected_value_dominance,stop,268
llama,medium_stakes_validation,baseline,144,rebels_only,,numerical,2,Rebel,1,0,False,True,-29450.0,-29450.0,1.0,0.0,decision_verb,stop,307
llama,medium_stakes_validation,baseline,145,rebels_only,,verbal,2,Cooperate,1,1,True,False,-29210.0,-20500.0,1.4248780487804877,8710.0,decision_verb,stop,278
llama,medium_stakes_validation,baseline,146,rebels_only,,verbal,2,Rebel,1,0,False,True,336290.0,336290.0,1.0,0.0,option_is_best,stop,401
llama,medium_stakes_validation,baseline,147,rebels_only,,numerical,3,Rebel,1,0,False,True,308736.0,308736.0,1.0,0.0,expected_value_dominance,stop,291
llama,medium_stakes_validation,baseline,148,rebels_only,,numerical,2,Rebel,1,0,False,True,230010.00000000003,230010.00000000003,1.0,0.0,decision_verb,stop,214
llama,medium_stakes_validation,baseline,149,rebels_only,,numerical,2,Rebel,1,0,False,True,6830.000000000004,6830.000000000004,1.0,0.0,option_is_best,stop,262
llama,medium_stakes_validation,baseline,150,rebels_only,,numerical,5,Rebel,1,0,False,True,152820.0,152820.0,1.0,0.0,best_choice_is,stop,365
llama,medium_stakes_validation,baseline,151,rebels_only,,numerical,5,Rebel,1,0,False,True,58279.54,58279.54,1.0,0.0,option_is_best,stop,361
llama,medium_stakes_validation,baseline,152,rebels_only,,verbal,4,Cooperate,1,1,True,False,18504.05,80620.0,0.22952183081121308,62115.95,option_is_best,stop,450
llama,medium_stakes_validation,baseline,153,rebels_only,,verbal,3,Rebel,1,0,False,True,307450.0,307450.0,1.0,0.0,decision_verb,stop,439
llama,medium_stakes_validation,baseline,154,rebels_only,,verbal,2,Rebel,1,0,False,True,169768.0,169768.0,1.0,0.0,decision_verb,stop,236
llama,medium_stakes_validation,baseline,155,rebels_only,,verbal,5,Rebel,1,0,False,False,44000.0,71000.0,0.6197183098591549,27000.0,decision_verb,stop,939
llama,medium_stakes_validation,baseline,156,rebels_only,,verbal,4,Rebel,1,0,False,True,359723.05,359723.05,1.0,0.0,decision_verb,stop,684
llama,medium_stakes_validation,baseline,157,rebels_only,,numerical,2,Rebel,1,0,False,True,-650.0,-650.0,1.0,0.0,decision_verb,stop,291
llama,medium_stakes_validation,baseline,158,rebels_only,,numerical,3,Cooperate,1,1,True,False,731.3199999999997,143785.6,0.005086183873767607,143054.28,option_is_best,stop,214
llama,medium_stakes_validation,baseline,159,rebels_only,,verbal,2,Rebel,1,0,False,True,28430.0,28430.0,1.0,0.0,decision_verb,stop,616
llama,medium_stakes_validation,baseline,160,rebels_only,,numerical,5,,0,0,,,,134710.8,,,,stop,323
llama,medium_stakes_validation,baseline,161,rebels_only,,verbal,3,Rebel,1,0,False,True,228880.0,228880.0,1.0,0.0,best_choice_is,stop,291
llama,medium_stakes_validation,baseline,162,rebels_only,,numerical,5,Rebel,1,0,False,False,124880.6,343317.0,0.36374720739141964,218436.4,decision_verb,stop,487
llama,medium_stakes_validation,baseline,163,rebels_only,,verbal,2,Rebel,1,0,False,True,156670.0,156670.0,1.0,0.0,decision_verb,stop,340
llama,medium_stakes_validation,baseline,164,rebels_only,,numerical,2,Rebel,1,0,False,True,154838.8,154838.8,1.0,0.0,decision_verb,stop,188
llama,medium_stakes_validation,baseline,165,rebels_only,,verbal,5,Rebel,1,0,False,True,131478.85,131478.85,1.0,0.0,decision_verb,stop,509
llama,medium_stakes_validation,baseline,166,rebels_only,,numerical,2,Rebel,1,0,False,True,26018.0,26018.0,1.0,0.0,decision_verb,stop,181
llama,medium_stakes_validation,baseline,167,rebels_only,,verbal,2,Rebel,1,0,False,True,123350.0,123350.0,1.0,0.0,decision_verb,stop,190
llama,medium_stakes_validation,baseline,168,rebels_only,,verbal,5,Rebel,1,0,False,False,180300.0,330000.0,0.5463636363636364,149700.0,best_choice_is,stop,719
llama,medium_stakes_validation,baseline,169,rebels_only,,verbal,4,Rebel,1,0,False,False,720350.0,774480.0,0.9301079433942775,54130.0,decision_verb,stop,384
llama,medium_stakes_validation,baseline,170,rebels_only,,verbal,2,Rebel,1,0,False,True,73716.0,73716.0,1.0,0.0,option_is_best,stop,428
llama,medium_stakes_validation,baseline,171,rebels_only,,verbal,2,Rebel,1,0,False,True,180000.0,180000.0,1.0,0.0,decision_verb,stop,461
llama,medium_stakes_validation,baseline,172,rebels_only,,numerical,2,Rebel,1,0,False,True,118831.0,118831.0,1.0,0.0,option_is_best,stop,211
llama,medium_stakes_validation,baseline,173,rebels_only,,numerical,3,Rebel,1,0,False,True,95969.99999999999,95969.99999999999,1.0,0.0,expected_value_dominance,stop,270
llama,medium_stakes_validation,baseline,174,rebels_only,,verbal,2,Rebel,1,0,False,True,87123.2,87123.2,1.0,0.0,decision_verb,stop,415
llama,medium_stakes_validation,baseline,175,rebels_only,,verbal,3,Rebel,1,0,False,True,158580.0,158580.0,1.0,0.0,expected_value_dominance,stop,494
llama,medium_stakes_validation,baseline,176,rebels_only,,verbal,4,,0,0,,,,152300.0,,,,stop,444
llama,medium_stakes_validation,baseline,177,rebels_only,,numerical,5,Rebel,1,0,False,True,88960.0,88960.0,1.0,0.0,best_choice_is,stop,242
llama,medium_stakes_validation,baseline,178,rebels_only,,numerical,2,Rebel,1,0,False,True,144167.5,144167.5,1.0,0.0,decision_verb,stop,211
